Format Version,1.24,Take Name,FingerWrist_012,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-08-03 04.45.21.582 午後,Capture Start Frame,521772,Total Frames in Take,601,Total Exported Frames,601,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Lunate,Lunate,Lunate,Lunate,Lunate,Lunate,Lunate,Scafoid,Scafoid,Scafoid,Scafoid,Scafoid,Scafoid,Scafoid,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage,Radius,Radius,Radius,Radius,Radius,Radius,Radius,Capitate,Capitate,Capitate,Capitate,Capitate,Capitate,Capitate
,ID,4C6F3CA668EE11F03C28FEC2583C50A9,4C6F3CA668EE11F03C28FEC2583C50A9,4C6F3CA668EE11F03C28FEC2583C50A9,4C6F3CA668EE11F03C28FEC2583C50A9,4C6F3CA668EE11F03C28FEC2583C50A9,4C6F3CA668EE11F03C28FEC2583C50A9,4C6F3CA668EE11F03C28FEC2583C50A9,8259AD1D68EE11F03C28FEC2583C50A9,8259AD1D68EE11F03C28FEC2583C50A9,8259AD1D68EE11F03C28FEC2583C50A9,8259AD1D68EE11F03C28FEC2583C50A9,8259AD1D68EE11F03C28FEC2583C50A9,8259AD1D68EE11F03C28FEC2583C50A9,8259AD1D68EE11F03C28FEC2583C50A9,5A5084686DA011F03C28FEC2583C50A9,5A5084686DA011F03C28FEC2583C50A9,5A5084686DA011F03C28FEC2583C50A9,5A5084686DA011F03C28FEC2583C50A9,5A5084686DA011F03C28FEC2583C50A9,5A5084686DA011F03C28FEC2583C50A9,5A5084686DA011F03C28FEC2583C50A9,68F0D2CD6DA111F03C28FEC2583C50A9,68F0D2CD6DA111F03C28FEC2583C50A9,68F0D2CD6DA111F03C28FEC2583C50A9,68F0D2CD6DA111F03C28FEC2583C50A9,68F0D2CD6DA111F03C28FEC2583C50A9,68F0D2CD6DA111F03C28FEC2583C50A9,68F0D2CD6DA111F03C28FEC2583C50A9,F719E5E4703211F03C28FEC2583C50A9,F719E5E4703211F03C28FEC2583C50A9,F719E5E4703211F03C28FEC2583C50A9,F719E5E4703211F03C28FEC2583C50A9,F719E5E4703211F03C28FEC2583C50A9,F719E5E4703211F03C28FEC2583C50A9,F719E5E4703211F03C28FEC2583C50A9
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,-0.084404,0.001990,-0.006270,0.996410,194.732330,211.211411,-198.881592,-0.086937,-0.007009,0.019518,0.995998,235.865738,207.261642,-194.150787,-0.024901,0.499091,0.005368,0.866175,103.142815,324.273407,-79.756508,0.012325,-0.061814,0.035592,0.997377,223.203552,163.584396,-176.648163,-0.091701,0.000899,-0.008317,0.995752,217.298462,188.645874,-196.891235
1,0.010000,-0.083773,0.004114,-0.005840,0.996459,194.712204,211.219986,-198.842438,-0.085181,-0.001470,0.021557,0.996131,235.843185,207.264999,-194.121109,-0.024743,0.498912,0.005536,0.866281,103.151459,324.273895,-79.791664,0.012390,-0.061753,0.035609,0.997379,223.187469,163.586563,-176.635986,-0.091011,0.000086,-0.007962,0.995818,217.286758,188.647308,-196.891174
2,0.020000,-0.083452,0.006543,-0.006220,0.996471,194.691635,211.227875,-198.818909,-0.084940,-0.000793,0.021822,0.996147,235.831818,207.270523,-194.109665,-0.024921,0.499115,0.005373,0.866161,103.149796,324.272766,-79.773582,0.012408,-0.061666,0.035704,0.997381,223.174011,163.588013,-176.628510,-0.090482,-0.000323,-0.007611,0.995869,217.278473,188.647858,-196.890198
3,0.030000,-0.083453,0.006743,-0.006337,0.996469,194.684723,211.230423,-198.817276,-0.085692,-0.001100,0.021820,0.996082,235.826675,207.275375,-194.098419,-0.024950,0.499163,0.005356,0.866132,103.156067,324.273285,-79.782356,0.012474,-0.061657,0.035734,0.997380,223.167175,163.590668,-176.631332,-0.090125,-0.000384,-0.007514,0.995902,217.272995,188.650253,-196.890732
4,0.040000,-0.083171,0.006494,-0.006047,0.996496,194.681564,211.225098,-198.829620,-0.085269,-0.001470,0.021700,0.996121,235.824265,207.272675,-194.122253,-0.024936,0.499244,0.005475,0.866085,103.167862,324.271362,-79.796997,0.012456,-0.061624,0.035831,0.997378,223.171112,163.593384,-176.642990,-0.090182,-0.000046,-0.007676,0.995896,217.270416,188.650299,-196.894394
5,0.050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
