Format Version,1.24,Take Name,Push_30_deg_001,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-02-23 11.55.08.510 午前,Capture Start Frame,59556108,Total Frames in Take,501,Total Exported Frames,501,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage
,ID,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.013008,-0.006231,0.022688,0.999639,-47.522266,422.934174,181.698898
1,0.010000,-0.013006,-0.006233,0.022705,0.999638,-47.528889,422.936798,181.692444
2,0.020000,-0.013018,-0.006216,0.022687,0.999639,-47.537693,422.941223,181.691956
3,0.030000,-0.013025,-0.006194,0.022651,0.999640,-47.555546,422.948090,181.693512
4,0.040000,-0.012989,-0.006084,0.022660,0.999640,-47.577980,422.955627,181.699677
5,0.050000,-0.012874,-0.005922,0.022678,0.999642,-47.599052,422.951477,181.725204
6,0.060000,-0.012991,-0.005835,0.022563,0.999644,-47.606750,422.980957,181.698944
7,0.070000,-0.013002,-0.005817,0.022583,0.999644,-47.615456,422.991058,181.689987
8,0.080000,-0.013068,-0.005977,0.022478,0.999644,-47.646011,423.010010,181.675705
9,0.090000,-0.013086,-0.006066,0.022867,0.999635,-47.641392,423.014832,181.663956
10,0.100000,-0.013114,-0.006062,0.022860,0.999634,-47.626358,423.017731,181.657089
11,0.110000,-0.013157,-0.006289,0.023014,0.999629,-47.618095,423.016571,181.650375
