Format Version,1.24,Take Name,Push_90_deg_001,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-02-23 12.12.47.241 午後,Capture Start Frame,59661981,Total Frames in Take,501,Total Exported Frames,501,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage
,ID,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.012631,0.010367,0.022243,0.999619,-38.042950,422.743683,196.898849
1,0.010000,-0.012590,0.010579,0.022077,0.999621,-38.024044,422.741791,196.905869
2,0.020000,-0.012574,0.010370,0.022266,0.999619,-38.027687,422.735535,196.914200
3,0.030000,-0.012544,0.010378,0.022232,0.999620,-38.017101,422.731110,196.921143
4,0.040000,-0.012543,0.010378,0.022242,0.999620,-38.010303,422.728668,196.926575
5,0.050000,-0.012524,0.010298,0.022309,0.999620,-38.012177,422.725677,196.934830
6,0.060000,-0.012542,0.010345,0.022259,0.999620,-38.010906,422.731323,196.938095
7,0.070000,-0.012530,0.010287,0.022337,0.999619,-38.021420,422.736298,196.942673
8,0.080000,-0.012509,0.010520,0.022188,0.999620,-38.015430,422.742126,196.945877
9,0.090000,-0.012506,0.010552,0.022178,0.999620,-38.018890,422.747498,196.947067
10,0.100000,-0.012512,0.010565,0.022157,0.999620,-38.023159,422.752106,196.945572
11,0.110000,,,,,,,
12,0.120000,-0.012578,0.010323,0.022386,0.999617,-38.034996,422.760712,196.938690
