Format Version,1.24,Take Name,Push_300_deg_008,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-02-23 11.25.54.884 午前,Capture Start Frame,59380747,Total Frames in Take,501,Total Exported Frames,501,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage
,ID,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.012343,0.013193,0.022736,0.999578,-53.421864,423.307648,172.573456
1,0.010000,-0.012375,0.013122,0.022871,0.999576,-53.426758,423.304901,172.560898
2,0.020000,-0.012340,0.013198,0.022769,0.999577,-53.417538,423.308411,172.566055
3,0.030000,-0.012320,0.013378,0.022655,0.999578,-53.407085,423.317139,172.567596
4,0.040000,-0.012314,0.013415,0.022668,0.999577,-53.417538,423.326630,172.569107
5,0.050000,-0.012327,0.013445,0.022709,0.999576,-53.438927,423.346619,172.562286
6,0.060000,-0.012310,0.013425,0.022371,0.999584,-53.467522,423.365265,172.574448
7,0.070000,-0.012367,0.013238,0.022770,0.999577,-53.530762,423.391541,172.556747
8,0.080000,-0.012367,0.013218,0.022810,0.999576,-53.545456,423.399567,172.539978
9,0.090000,-0.012374,0.013239,0.022790,0.999576,-53.553440,423.394012,172.523621
10,0.100000,-0.012378,0.013218,0.022774,0.999577,-53.553684,423.387329,172.520752
11,0.110000,-0.012334,0.013214,0.022724,0.999578,-53.542923,423.377136,172.528671
12,0.120000,-0.012283,0.013426,0.022395,0.999584,-53.487316,423.360107,172.543137
