Format Version,1.24,Take Name,Push_150_deg_002,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-02-23 01.26.55.534 午前,Capture Start Frame,55786845,Total Frames in Take,1001,Total Exported Frames,1001,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage
,ID,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.009895,-0.000311,0.019804,0.999755,-49.012325,422.939301,240.597305
1,0.010000,-0.009901,-0.000255,0.019637,0.999758,-48.860535,422.945160,240.611603
2,0.020000,-0.009538,-0.000183,0.019627,0.999762,-48.642921,422.921082,240.614410
3,0.030000,-0.009908,-0.000067,0.019434,0.999762,-48.402512,422.994293,240.630386
4,0.040000,-0.009912,-0.000267,0.019981,0.999751,-48.164577,423.001923,240.636551
5,0.050000,-0.009191,0.000101,0.017706,0.999801,-47.853775,422.911865,240.612778
6,0.060000,-0.009623,-0.000043,0.019558,0.999762,-47.509884,422.938080,240.615524
7,0.070000,-0.009657,-0.000026,0.019558,0.999762,-47.076775,422.936707,240.623672
8,0.080000,-0.009609,-0.000159,0.019602,0.999762,-46.670925,422.925629,240.634506
9,0.090000,-0.009984,-0.000272,0.019769,0.999755,-46.289673,422.984436,240.661087
10,0.100000,-0.009568,0.000908,0.018336,0.999786,-45.573402,422.924469,240.685501
11,0.110000,-0.009603,0.000328,0.019352,0.999767,-45.135670,422.905457,240.724533
