Format Version,1.24,Take Name,Push_120_deg_005,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-02-23 02.50.44.550 午後,Capture Start Frame,60609704,Total Frames in Take,501,Total Exported Frames,501,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage
,ID,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.024038,0.016085,0.025413,0.999259,-61.646858,424.575439,227.744583
1,0.010000,-0.023999,0.016816,0.024926,0.999260,-61.382187,424.591492,227.723907
2,0.020000,-0.024042,0.016874,0.023898,0.999283,-61.067455,424.574310,227.747803
3,0.030000,-0.023992,0.016586,0.024375,0.999277,-60.892094,424.553467,227.752441
4,0.040000,-0.023652,0.016816,0.023424,0.999304,-60.548225,424.495087,227.743713
5,0.050000,-0.023614,0.016863,0.023178,0.999310,-60.215694,424.474304,227.756821
6,0.060000,-0.024049,0.017095,0.023254,0.999294,-59.836433,424.513702,227.778305
7,0.070000,-0.024063,0.017115,0.023046,0.999298,-59.428589,424.499176,227.786636
8,0.080000,-0.023780,0.017326,0.022334,0.999318,-59.050777,424.477173,227.758209
9,0.090000,-0.023290,0.017625,0.021704,0.999338,-58.632763,424.414368,227.725815
10,0.100000,-0.023632,0.017407,0.021947,0.999328,-58.241432,424.428040,227.775146
11,0.110000,-0.023979,0.016593,0.024018,0.999286,-57.939774,424.449768,227.783310
12,0.120000,-0.024102,0.016294,0.024427,0.999278,-57.465302,424.453247,227.796570
