Format Version,1.24,Take Name,Push_240_deg_001,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-02-21 10.01.13.571 午後,Capture Start Frame,45912741,Total Frames in Take,1001,Total Exported Frames,1001,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage
,ID,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.000770,0.010390,0.013639,0.999853,-27.366655,418.953033,105.617104
1,0.010000,-0.001957,0.009626,0.016546,0.999815,-27.303917,418.970154,105.671768
2,0.020000,-0.002060,0.009630,0.016207,0.999820,-27.305235,418.972076,105.658928
3,0.030000,-0.002176,0.009509,0.016883,0.999810,-27.294916,418.981812,105.660881
4,0.040000,-0.002120,0.009529,0.016979,0.999808,-27.301861,418.976501,105.683647
5,0.050000,-0.000747,0.010266,0.014168,0.999847,-27.360115,418.951935,105.638435
6,0.060000,-0.000668,0.010393,0.013698,0.999852,-27.374111,418.951447,105.658585
7,0.070000,-0.000634,0.010380,0.013705,0.999852,-27.384760,418.947968,105.658203
8,0.080000,-0.000696,0.010300,0.013777,0.999852,-27.402336,418.948608,105.637062
9,0.090000,-0.000746,0.010138,0.014049,0.999850,-27.419645,418.948395,105.608643
10,0.100000,-0.000835,0.010222,0.013694,0.999854,-27.420073,418.957764,105.583878
11,0.110000,-0.000786,0.010210,0.013781,0.999853,-27.416407,418.956085,105.590981
12,0.120000,-0.000722,0.010222,0.013765,0.999853,-27.409416,418.953857,105.614243
