Format Version,1.24,Take Name,Push_0_deg_005,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-02-21 09.31.41.547 午前,Capture Start Frame,41415581,Total Frames in Take,1001,Total Exported Frames,1001,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage
,ID,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.003362,0.000091,0.019670,0.999801,-13.602849,419.976349,106.353935
1,0.010000,-0.003347,0.000108,0.019588,0.999803,-13.586579,419.977783,106.356682
2,0.020000,-0.003343,0.000109,0.019560,0.999803,-13.566804,419.980804,106.360916
3,0.030000,-0.003328,0.000122,0.019460,0.999805,-13.541843,419.983185,106.365616
4,0.040000,-0.003295,0.000014,0.019974,0.999795,-13.510170,419.983307,106.372337
5,0.050000,-0.003269,0.000028,0.019980,0.999795,-13.487635,419.982086,106.380104
6,0.060000,-0.003197,-0.000308,0.019895,0.999797,-13.435918,419.970276,106.420609
7,0.070000,-0.003182,-0.000369,0.019906,0.999797,-13.404384,419.968842,106.429260
8,0.080000,-0.003184,-0.000426,0.019964,0.999796,-13.373058,419.969910,106.427986
9,0.090000,-0.003164,-0.000451,0.020005,0.999795,-13.351097,419.975311,106.427475
10,0.100000,-0.003159,-0.000470,0.020076,0.999793,-13.321472,419.980530,106.427734
11,0.110000,-0.003145,-0.000385,0.019962,0.999796,-13.292018,419.983978,106.433289
