Format Version,1.24,Take Name,Push_330_deg_008,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-02-21 08.41.13.546 午後,Capture Start Frame,45432743,Total Frames in Take,1001,Total Exported Frames,1001,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage
,ID,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.005769,-0.016373,0.018178,0.999684,-21.202070,419.651428,100.789719
1,0.010000,-0.005584,-0.017803,0.019092,0.999644,-21.148310,419.640778,100.845985
2,0.020000,-0.005646,-0.016415,0.018197,0.999684,-21.181335,419.633179,100.817795
3,0.030000,,,,,,,
4,0.040000,-0.004487,-0.017984,0.019664,0.999635,-21.079966,419.600800,100.810570
5,0.050000,-0.004292,-0.017997,0.019644,0.999636,-21.039801,419.587830,100.817657
6,0.060000,-0.004282,-0.018026,0.019627,0.999636,-21.013824,419.583099,100.823059
7,0.070000,-0.004389,-0.016705,0.018732,0.999675,-21.035143,419.583496,100.792259
8,0.080000,-0.004411,-0.016505,0.018575,0.999681,-21.021820,419.588745,100.791878
9,0.090000,-0.004437,-0.016497,0.018595,0.999681,-21.003054,419.596619,100.792160
10,0.100000,-0.004482,-0.016479,0.018607,0.999681,-20.986214,419.606110,100.785423
11,0.110000,-0.004507,-0.016450,0.018593,0.999682,-20.969194,419.614471,100.778236
12,0.120000,-0.004579,-0.016448,0.018602,0.999681,-20.951614,419.626526,100.768150
