Format Version,1.24,Take Name,Push_90_deg_008,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-02-21 02.51.01.914 午前,Capture Start Frame,39011638,Total Frames in Take,1001,Total Exported Frames,1001,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage
,ID,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.001940,-0.009744,0.006713,0.999928,-0.777384,419.876831,119.623169
1,0.010000,-0.001907,-0.009749,0.006684,0.999928,-0.776934,419.873932,119.628624
2,0.020000,-0.001869,-0.009756,0.006689,0.999928,-0.769320,419.870880,119.635620
3,0.030000,-0.001845,-0.009757,0.006692,0.999928,-0.760444,419.864288,119.642921
4,0.040000,-0.001812,-0.009756,0.006655,0.999929,-0.750743,419.856018,119.647804
5,0.050000,-0.001798,-0.009766,0.006660,0.999929,-0.743557,419.852203,119.651360
6,0.060000,-0.001785,-0.009767,0.006649,0.999929,-0.734926,419.851440,119.655449
7,0.070000,-0.001797,-0.009776,0.006626,0.999929,-0.730562,419.852081,119.657677
8,0.080000,-0.001792,-0.009753,0.006568,0.999929,-0.727245,419.851990,119.657074
9,0.090000,-0.001789,-0.009756,0.006586,0.999929,-0.727495,419.852264,119.656746
10,0.100000,-0.001775,-0.009778,0.006660,0.999928,-0.732190,419.851776,119.658005
11,0.110000,-0.001775,-0.009781,0.006676,0.999928,-0.738401,419.853333,119.659851
