Format Version,1.24,Take Name,Push_150_deg_006,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-02-22 08.31.33.322 午前,Capture Start Frame,49694681,Total Frames in Take,1001,Total Exported Frames,1001,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage
,ID,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9,1FCEE7A3EF9111EF3C28FEC2583C42A9
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.003189,-0.003123,0.020477,0.999780,-24.264606,419.663025,133.698822
1,0.010000,-0.003190,-0.003074,0.020445,0.999781,-24.279762,419.666901,133.699356
2,0.020000,-0.003190,-0.003074,0.020462,0.999781,-24.293955,419.669525,133.698074
3,0.030000,-0.003207,-0.003086,0.020433,0.999781,-24.307272,419.671539,133.696564
4,0.040000,-0.003242,-0.003143,0.020510,0.999780,-24.315203,419.674866,133.694748
5,0.050000,-0.003242,-0.003150,0.020532,0.999779,-24.313175,419.674530,133.694168
6,0.060000,-0.003216,-0.003155,0.020507,0.999780,-24.299847,419.672028,133.695099
7,0.070000,-0.003220,-0.003138,0.020424,0.999781,-24.284491,419.669678,133.695999
8,0.080000,-0.003222,-0.003161,0.020432,0.999781,-24.268251,419.667114,133.698166
9,0.090000,-0.003231,-0.003319,0.020517,0.999779,-24.246571,419.664459,133.701019
10,0.100000,-0.003213,-0.003339,0.020542,0.999778,-24.233467,419.662415,133.703125
11,0.110000,-0.003208,-0.003345,0.020552,0.999778,-24.223116,419.662476,133.708420
