Format Version,1.24,Take Name,Push_330_deg_001,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-02-03 04.16.32.251 午前,Capture Start Frame,6010803,Total Frames in Take,1501,Total Exported Frames,1501,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Rigid Body 002,Rigid Body 002,Rigid Body 002,Rigid Body 002,Rigid Body 002,Rigid Body 002,Rigid Body 002
,ID,7081C4A4E11211EF3C28FEC2583C42A9,7081C4A4E11211EF3C28FEC2583C42A9,7081C4A4E11211EF3C28FEC2583C42A9,7081C4A4E11211EF3C28FEC2583C42A9,7081C4A4E11211EF3C28FEC2583C42A9,7081C4A4E11211EF3C28FEC2583C42A9,7081C4A4E11211EF3C28FEC2583C42A9
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.009276,0.003953,-0.019371,0.999762,165.492599,421.342102,110.879379
1,0.010000,0.009321,0.004330,-0.019716,0.999753,165.530579,421.345123,110.905754
2,0.020000,0.009411,0.004321,-0.019783,0.999751,165.554077,421.344849,110.925682
3,0.030000,0.009493,0.004295,-0.019880,0.999748,165.581757,421.349701,110.942535
4,0.040000,0.009571,0.004143,-0.019760,0.999750,165.600449,421.356140,110.956512
5,0.050000,0.009639,0.004073,-0.019807,0.999749,165.621490,421.362640,110.971001
6,0.060000,0.009688,0.004029,-0.019809,0.999749,165.636139,421.366821,110.978836
7,0.070000,0.009676,0.003900,-0.019539,0.999755,165.640610,421.368500,110.980080
8,0.080000,0.009684,0.003918,-0.019510,0.999755,165.638092,421.367859,110.980782
9,0.090000,0.009717,0.004100,-0.019847,0.999747,165.624481,421.365936,110.981529
10,0.100000,0.009732,0.004127,-0.019896,0.999746,165.607132,421.363892,110.983749
11,0.110000,0.009769,0.004131,-0.019883,0.999746,165.590561,421.358948,110.990387
12,0.120000,0.009829,0.004150,-0.019911,0.999745,165.580399,421.353516,111.005905
13,0.130000,0.009895,0.004147,-0.019893,0.999745,165.572922,421.344543,111.023903
14,0.140000,0.011969,0.001563,-0.021957,0.999686,165.203644,421.132874,110.928474
15,0.150000,0.012228,0.001313,-0.022105,0.999680,165.174942,421.106964,110.932465
16,0.160000,0.012081,0.001575,-0.022023,0.999683,165.215790,421.127747,110.945938
