Format Version,1.24,Take Name,Push_240_deg_001,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-02-02 10.00.55.983 午後,Capture Start Frame,3757178,Total Frames in Take,1501,Total Exported Frames,1501,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Rigid Body 002,Rigid Body 002,Rigid Body 002,Rigid Body 002,Rigid Body 002,Rigid Body 002,Rigid Body 002
,ID,7081C4A4E11211EF3C28FEC2583C42A9,7081C4A4E11211EF3C28FEC2583C42A9,7081C4A4E11211EF3C28FEC2583C42A9,7081C4A4E11211EF3C28FEC2583C42A9,7081C4A4E11211EF3C28FEC2583C42A9,7081C4A4E11211EF3C28FEC2583C42A9,7081C4A4E11211EF3C28FEC2583C42A9
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.009617,-0.011492,-0.004960,0.999875,143.149139,420.719910,86.191139
1,0.010000,0.009772,-0.011541,-0.005020,0.999873,143.120758,420.699127,86.234100
2,0.020000,0.009993,-0.011870,-0.004968,0.999867,143.077728,420.672211,86.287437
3,0.030000,0.010160,-0.011916,-0.004918,0.999865,143.044281,420.653198,86.332069
4,0.040000,0.010283,-0.011876,-0.004948,0.999864,143.027908,420.638855,86.360802
5,0.050000,0.010305,-0.011939,-0.004944,0.999864,143.016830,420.636871,86.372643
6,0.060000,0.010367,-0.011922,-0.004932,0.999863,143.028412,420.639740,86.370941
7,0.070000,0.010412,-0.012050,-0.004856,0.999861,143.049408,420.647400,86.368866
8,0.080000,0.010429,-0.012168,-0.004810,0.999860,143.074890,420.655457,86.367790
9,0.090000,,,,,,,
10,0.100000,0.010514,-0.012270,-0.004840,0.999858,143.118698,420.660889,86.376045
11,0.110000,0.010579,-0.012221,-0.004924,0.999857,143.138107,420.661377,86.392044
12,0.120000,0.010657,-0.012092,-0.005100,0.999857,143.143494,420.668365,86.412178
13,0.130000,0.010686,-0.012023,-0.005222,0.999857,143.131805,420.670624,86.429710
14,0.140000,0.010742,-0.012256,-0.004824,0.999856,143.092468,420.659698,86.442490
15,0.150000,0.010740,-0.012345,-0.004645,0.999855,143.064255,420.644867,86.445953
16,0.160000,0.010693,-0.012445,-0.004485,0.999855,143.042084,420.634827,86.436523
17,0.170000,0.010618,-0.012486,-0.004454,0.999856,143.024872,420.636963,86.423370
