Format Version,1.24,Take Name,Push_210_deg_007,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-02-02 01.56.26.420 午後,Capture Start Frame,850209,Total Frames in Take,1501,Total Exported Frames,1501,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Rigid Body 002,Rigid Body 002,Rigid Body 002,Rigid Body 002,Rigid Body 002,Rigid Body 002,Rigid Body 002
,ID,7081C4A4E11211EF3C28FEC2583C42A9,7081C4A4E11211EF3C28FEC2583C42A9,7081C4A4E11211EF3C28FEC2583C42A9,7081C4A4E11211EF3C28FEC2583C42A9,7081C4A4E11211EF3C28FEC2583C42A9,7081C4A4E11211EF3C28FEC2583C42A9,7081C4A4E11211EF3C28FEC2583C42A9
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.012880,0.018630,-0.005794,0.999727,116.452477,415.617401,79.190155
1,0.010000,0.012857,0.018651,-0.005765,0.999727,116.455673,415.618591,79.194267
2,0.020000,0.012882,0.018637,-0.005787,0.999727,116.450630,415.614227,79.195259
3,0.030000,0.012884,0.018618,-0.005766,0.999727,116.445190,415.612000,79.194054
4,0.040000,0.012874,0.018622,-0.005771,0.999727,116.439621,415.611450,79.190056
5,0.050000,0.012860,0.018617,-0.005766,0.999727,116.432404,415.614685,79.183495
6,0.060000,,,,,,,
7,0.070000,0.012829,0.018619,-0.005741,0.999728,116.421501,415.616425,79.170906
8,0.080000,0.012826,0.018621,-0.005721,0.999728,116.417503,415.613464,79.169334
9,0.090000,0.012837,0.018602,-0.005684,0.999729,116.415298,415.610931,79.171440
10,0.100000,0.012843,0.018611,-0.005723,0.999728,116.412834,415.609070,79.175629
11,0.110000,,,,,,,
12,0.120000,0.012843,0.018607,-0.005729,0.999728,116.407372,415.609497,79.177124
13,0.130000,0.012844,0.018632,-0.005731,0.999728,116.406296,415.609314,79.173622
14,0.140000,0.012836,0.018624,-0.005703,0.999728,116.403152,415.608368,79.168472
15,0.150000,0.012835,0.018609,-0.005678,0.999728,116.400681,415.608826,79.164185
16,0.160000,0.012832,0.018616,-0.005701,0.999728,116.398476,415.608459,79.165108
17,0.170000,0.012845,0.018597,-0.005699,0.999728,116.395477,415.606415,79.171768
18,0.180000,0.012863,0.018575,-0.005693,0.999729,116.392097,415.602142,79.178726
