Format Version,1.24,Take Name,Push_300_deg_005,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-02-03 02.41.28.538 午後,Capture Start Frame,9760396,Total Frames in Take,1501,Total Exported Frames,1501,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Rigid Body 002,Rigid Body 002,Rigid Body 002,Rigid Body 002,Rigid Body 002,Rigid Body 002,Rigid Body 002
,ID,7081C4A4E11211EF3C28FEC2583C42A9,7081C4A4E11211EF3C28FEC2583C42A9,7081C4A4E11211EF3C28FEC2583C42A9,7081C4A4E11211EF3C28FEC2583C42A9,7081C4A4E11211EF3C28FEC2583C42A9,7081C4A4E11211EF3C28FEC2583C42A9,7081C4A4E11211EF3C28FEC2583C42A9
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.009660,0.007153,-0.041488,0.999067,146.923050,421.484314,125.340965
1,0.010000,0.009568,0.007344,-0.041942,0.999047,146.937012,421.506927,125.341743
2,0.020000,0.009660,0.007006,-0.041490,0.999068,146.948715,421.497833,125.335518
3,0.030000,0.009672,0.007001,-0.041437,0.999070,146.961975,421.495544,125.336166
4,0.040000,0.009611,0.007202,-0.041850,0.999052,146.982758,421.511932,125.348717
5,0.050000,0.009631,0.007180,-0.041872,0.999051,146.996735,421.517212,125.354202
6,0.060000,0.009665,0.007097,-0.041864,0.999051,147.002197,421.521881,125.359016
7,0.070000,0.009680,0.007087,-0.041858,0.999052,147.000290,421.523712,125.360924
8,0.080000,0.009682,0.007082,-0.041827,0.999053,146.988571,421.521423,125.362274
9,0.090000,0.009666,0.007082,-0.041812,0.999054,146.979477,421.521454,125.357613
10,0.100000,0.009655,0.007130,-0.041895,0.999050,146.975327,421.522034,125.353661
11,0.110000,0.009650,0.007175,-0.041990,0.999046,146.977341,421.524475,125.351891
12,0.120000,0.009646,0.007148,-0.041978,0.999046,146.982437,421.528381,125.350327
13,0.130000,0.009653,0.007123,-0.041954,0.999048,146.988571,421.533752,125.346046
14,0.140000,0.009645,0.007053,-0.041903,0.999050,146.990540,421.540283,125.340309
15,0.150000,0.009643,0.007054,-0.041937,0.999049,146.990082,421.546570,125.334251
16,0.160000,0.009637,0.006902,-0.041811,0.999055,146.967911,421.547028,125.324501
