Format Version,1.24,Take Name,Push_60_deg_007,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-02-03 11.33.18.843 午前,Capture Start Frame,8631435,Total Frames in Take,1501,Total Exported Frames,1501,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Rigid Body 002,Rigid Body 002,Rigid Body 002,Rigid Body 002,Rigid Body 002,Rigid Body 002,Rigid Body 002
,ID,7081C4A4E11211EF3C28FEC2583C42A9,7081C4A4E11211EF3C28FEC2583C42A9,7081C4A4E11211EF3C28FEC2583C42A9,7081C4A4E11211EF3C28FEC2583C42A9,7081C4A4E11211EF3C28FEC2583C42A9,7081C4A4E11211EF3C28FEC2583C42A9,7081C4A4E11211EF3C28FEC2583C42A9
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.006834,-0.001037,-0.049121,0.998769,161.461990,421.972321,70.293205
1,0.010000,0.006852,-0.001161,-0.048982,0.998776,161.466782,421.974976,70.289764
2,0.020000,0.006806,-0.001167,-0.048899,0.998780,161.466095,421.973755,70.284241
3,0.030000,0.006767,-0.001006,-0.049086,0.998771,161.468872,421.973419,70.276527
4,0.040000,0.006751,-0.001150,-0.048748,0.998788,161.446671,421.969727,70.270271
5,0.050000,0.006743,-0.001186,-0.048615,0.998794,161.430176,421.966217,70.268562
6,0.060000,0.006754,-0.001172,-0.048632,0.998793,161.412964,421.962494,70.272560
7,0.070000,0.006769,-0.001158,-0.048645,0.998793,161.399185,421.957397,70.280144
8,0.080000,0.006800,-0.001095,-0.048755,0.998787,161.391037,421.952423,70.292290
9,0.090000,0.006827,-0.001071,-0.048790,0.998785,161.389236,421.948975,70.301392
10,0.100000,0.006843,-0.000920,-0.049078,0.998771,161.405823,421.949646,70.307137
11,0.110000,,,,,,,
12,0.120000,0.006854,-0.001055,-0.048954,0.998777,161.417267,421.955444,70.303230
13,0.130000,0.006840,-0.001016,-0.049060,0.998772,161.428787,421.959290,70.298363
14,0.140000,0.006835,-0.001000,-0.049106,0.998770,161.441864,421.961365,70.293785
15,0.150000,0.006836,-0.001029,-0.049037,0.998773,161.452454,421.961212,70.294258
16,0.160000,0.006845,-0.000878,-0.049318,0.998759,161.470413,421.961761,70.299767
17,0.170000,0.006869,-0.001062,-0.048924,0.998778,161.462723,421.956451,70.304123
